Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
499,Chaz Lanier,24,DET,SG,32,0,7.9,0.8,2.8,.307,0.6,2.1,.284,0.3,0.7,.381,.415,0.2,0.2,.833,0.3,0.5,0.7,0.5,0.2,0.0,0.1,0.4,2.4,,laniech01
500,Lindy Waters III,28,SAS,SG,40,0,7.1,0.8,2.2,.375,0.7,2.0,.342,0.2,0.2,.667,.528,0.1,0.1,.667,0.1,0.7,0.7,0.5,0.2,0.0,0.2,0.6,2.4,,waterli01
501,Chris Boucher,33,BOS,PF,9,0,10.4,0.9,2.8,.320,0.2,1.7,.133,0.7,1.1,.600,.360,0.3,0.4,.750,0.2,1.8,2.0,0.3,0.6,0.8,0.1,1.9,2.3,,bouchch01
502,Yang Hansen,20,POR,C,41,1,7.2,0.8,2.4,.310,0.1,1.0,.119,0.6,1.4,.448,.335,0.7,0.8,.824,0.5,1.1,1.6,0.5,0.1,0.2,0.8,1.0,2.3,,yangha01
503,Caleb Houstan,23,ATL,SF,18,0,4.2,0.8,1.4,.538,0.6,1.2,.524,0.2,0.3,.600,.750,0.2,0.2,1.000,0.3,0.3,0.6,0.2,0.1,0.1,0.2,0.6,2.3,,houstca01
504,Andre Jackson Jr.,24,MIL,SG,46,1,7.9,0.8,2.3,.336,0.3,1.2,.268,0.5,1.1,.412,.407,0.4,0.5,.708,0.5,0.8,1.4,0.9,0.4,0.1,0.6,0.9,2.3,,jacksan01
505,Luke Travers,24,CLE,SG,12,0,8.6,0.8,3.0,.250,0.1,1.3,.063,0.7,1.7,.400,.264,0.8,0.8,1.000,0.8,1.3,2.0,0.8,0.6,0.3,0.3,0.5,2.3,,travelu01
506,Chris Youngblood,23,2TM,SG,33,0,5.5,0.7,1.9,.349,0.5,1.6,.333,0.1,0.3,.444,.492,0.3,0.3,.900,0.2,0.6,0.8,0.4,0.1,0.1,0.1,0.6,2.2,,youngch01
506,Chris Youngblood,23,OKC,SG,32,0,5.4,0.6,1.9,.333,0.5,1.6,.314,0.1,0.3,.444,.467,0.3,0.3,.900,0.2,0.7,0.9,0.3,0.1,0.1,0.1,0.6,2.0,,youngch01
506,Chris Youngblood,23,POR,SG,1,0,9.0,2.0,3.0,.667,2.0,3.0,.667,0.0,0.0,,1.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,,youngch01
507,Alex Antetokounmpo,24,MIL,SF,5,0,3.2,0.2,1.0,.200,0.0,0.8,.000,0.2,0.2,1.000,.200,1.8,2.6,.692,0.4,0.4,0.8,0.2,0.0,0.2,0.0,0.0,2.2,,antetal01
508,Koby Brea,23,PHO,SG,10,0,4.1,0.7,1.7,.412,0.6,1.4,.429,0.1,0.3,.333,.588,0.2,0.2,1.000,0.0,0.2,0.2,0.6,0.0,0.0,0.1,0.4,2.2,,breako01
509,JD Davison,23,HOU,PG,27,0,7.1,0.8,2.0,.400,0.3,1.0,.286,0.5,1.0,.519,.473,0.3,0.5,.615,0.1,0.8,0.9,1.0,0.2,0.1,0.3,0.6,2.2,,davisjd01
510,Alijah Martin,24,TOR,SG,22,0,6.1,0.7,2.0,.333,0.2,0.9,.200,0.5,1.1,.440,.378,0.6,0.8,.778,0.4,0.5,1.0,0.5,0.4,0.2,0.2,0.5,2.2,,martial01
511,Sean Pedulla,23,LAC,PG,6,0,4.8,0.8,2.5,.333,0.5,1.7,.300,0.3,0.8,.400,.433,0.0,0.0,,0.0,0.5,0.5,0.8,0.0,0.0,0.0,0.7,2.2,,pedulse01
512,Hunter Tyson,25,DEN,PF,21,2,7.7,0.7,2.5,.269,0.3,1.6,.212,0.3,0.9,.368,.337,0.5,0.6,.846,0.2,1.5,1.7,0.8,0.1,0.0,0.2,0.6,2.2,,tysonhu01
513,Tristan Enaruna,24,CLE,SF,7,0,6.6,1.0,2.6,.389,0.1,0.9,.167,0.9,1.7,.500,.417,0.0,0.1,.000,0.7,0.7,1.4,0.4,0.1,0.0,0.3,0.1,2.1,,enarutr01
514,Jeff Green,39,HOU,PF,29,0,5.2,0.8,2.1,.383,0.4,1.4,.300,0.4,0.7,.550,.483,0.1,0.1,1.000,0.2,0.5,0.7,0.2,0.0,0.0,0.0,0.3,2.1,,greenje02
515,Lachlan Olbrich,22,CHI,C,35,0,8.1,0.8,1.8,.460,0.1,0.5,.125,0.8,1.3,.574,.476,0.4,1.0,.382,1.0,1.5,2.5,0.8,0.3,0.2,0.4,1.3,2.1,,olbrila01
516,Dalano Banton,26,2TM,PG,5,0,5.0,0.8,1.8,.444,0.0,0.0,,0.8,1.8,.444,.444,0.4,0.4,1.000,0.2,0.0,0.2,0.8,0.2,0.2,0.4,0.2,2.0,,bantoda01
516,Dalano Banton,26,LAC,PG,2,0,5.0,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,0.0,0.0,,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,3.0,,bantoda01
516,Dalano Banton,26,BOS,PG,3,0,5.0,0.3,1.7,.200,0.0,0.0,,0.3,1.7,.200,.200,0.7,0.7,1.000,0.0,0.0,0.0,0.7,0.0,0.3,0.3,0.3,1.3,,bantoda01
517,Trentyn Flowers,20,CHI,SF,2,0,3.0,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.0,0.0,,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,2.0,,flowetr01
518,Keshon Gilbert,22,WAS,PG,3,0,16.0,0.3,1.3,.250,0.0,0.7,.000,0.3,0.7,.500,.250,1.3,1.3,1.000,0.7,1.0,1.7,1.0,0.7,1.3,2.0,1.0,2.0,,gilbeke01
519,Colby Jones,23,DET,SG,1,0,7.0,1.0,3.0,.333,0.0,2.0,.000,1.0,1.0,1.000,.333,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,,jonesco02
520,Johnny Juzang,24,MIN,SG,21,0,4.2,0.8,1.8,.421,0.3,1.1,.250,0.5,0.7,.714,.500,0.2,0.4,.625,0.2,0.6,0.8,0.3,0.1,0.0,0.2,0.1,2.0,,juzanjo01
521,Maxi Kleber,34,LAL,PF,41,1,10.6,0.8,1.7,.456,0.1,0.6,.240,0.6,1.0,.581,.500,0.3,0.6,.583,0.8,1.1,1.9,0.7,0.4,0.2,0.4,1.3,2.0,,klebima01
522,Jordan McLaughlin,29,SAS,PG,42,0,6.5,0.7,1.8,.408,0.4,0.9,.410,0.4,0.9,.405,.513,0.1,0.2,.857,0.1,0.6,0.7,0.9,0.5,0.0,0.4,0.3,2.0,,mclaujo01
523,Payton Sandfort,23,OKC,SF,2,0,3.5,0.5,2.5,.200,0.5,2.0,.250,0.0,0.5,.000,.300,0.5,1.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.5,2.5,2.0,,sandfpa01
524,Ariel Hukporti,23,NYK,C,52,4,8.8,0.7,1.3,.544,0.0,0.1,.250,0.7,1.2,.563,.551,0.5,0.6,.788,1.0,1.8,2.8,0.5,0.2,0.5,0.6,1.2,1.9,,hukpoar01
525,Harrison Ingram,23,SAS,SF,6,0,3.3,0.8,1.0,.833,0.2,0.2,1.000,0.7,0.8,.800,.917,0.0,0.0,,0.5,0.0,0.5,0.2,0.0,0.0,0.2,0.3,1.8,,ingraha01
526,Bobi Klintman,22,DET,SF,12,0,5.9,0.8,2.3,.333,0.3,1.1,.308,0.4,1.2,.357,.407,0.0,0.3,.000,0.4,1.2,1.6,0.5,0.3,0.0,0.5,0.9,1.8,,klintbo01
527,Isaiah Livers,27,PHO,PF,36,0,9.6,0.6,1.8,.344,0.3,1.1,.300,0.3,0.7,.417,.438,0.3,0.3,.750,0.5,1.2,1.7,0.6,0.4,0.2,0.3,0.8,1.8,,liveris01
528,Cody Martin,30,IND,SF,4,0,13.8,0.5,2.5,.200,0.0,1.3,.000,0.5,1.3,.400,.200,0.8,1.5,.500,0.3,3.3,3.5,0.5,1.0,0.5,1.0,1.3,1.8,,martico01
529,Kevin McCullar Jr.,24,NYK,SF,20,0,6.5,0.7,1.8,.389,0.3,0.9,.333,0.4,0.9,.444,.472,0.1,0.3,.400,0.5,0.8,1.3,1.0,0.4,0.0,0.6,0.9,1.8,,mcculke01
530,Orlando Robinson,25,ORL,C,4,1,6.3,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.0,0.0,,0.5,0.5,1.0,0.8,0.3,0.0,0.0,0.8,1.8,,robinor01
531,Jahmir Young,25,MIA,PG,12,0,4.5,0.8,1.9,.391,0.2,0.7,.250,0.6,1.3,.467,.435,0.2,0.2,1.000,0.2,0.2,0.3,0.6,0.1,0.0,0.3,0.6,1.8,,youngja05
532,Wendell Moore Jr.,24,DET,SG,6,0,10.0,0.7,1.2,.571,0.0,0.2,.000,0.7,1.0,.667,.571,0.3,0.3,1.000,0.2,0.8,1.0,0.7,0.3,0.3,0.2,0.5,1.7,,moorewe01
533,Adou Thiero,21,LAL,SF,23,0,5.9,0.5,1.2,.444,0.0,0.1,.333,0.5,1.0,.458,.463,0.6,1.0,.636,0.3,0.7,1.0,0.3,0.3,0.1,0.3,0.7,1.7,,thierad01
534,Jacob Toppin,25,ATL,SF,5,0,3.4,0.8,1.2,.667,0.0,0.0,,0.8,1.2,.667,.667,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,1.6,,toppija01
535,Mason Plumlee,35,2TM,C,19,2,8.2,0.5,0.7,.769,0.0,0.0,,0.5,0.7,.769,.769,0.5,0.7,.643,0.8,1.8,2.6,1.0,0.5,0.0,0.6,0.8,1.5,,plumlma01
535,Mason Plumlee,35,CHO,C,14,2,8.9,0.6,0.9,.750,0.0,0.0,,0.6,0.9,.750,.750,0.6,0.9,.667,0.7,2.1,2.9,1.1,0.4,0.0,0.6,0.7,1.9,,plumlma01
535,Mason Plumlee,35,SAS,C,5,0,6.2,0.2,0.2,1.000,0.0,0.0,,0.2,0.2,1.000,1.000,0.2,0.4,.500,1.2,0.8,2.0,0.6,0.8,0.0,0.6,1.2,0.6,,plumlma01
536,Buddy Boeheim,26,OKC,SF,4,0,3.8,0.5,1.5,.333,0.5,1.5,.333,0.0,0.0,,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,,boehebu01
537,Rocco Zikarsky,19,MIN,C,4,0,4.0,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.0,0.0,,0.5,0.8,1.3,0.0,0.0,0.8,0.0,0.3,1.5,,zikarro01
538,Xavier Tillman Sr.,27,2TM,C,29,1,6.2,0.7,1.6,.422,0.1,0.6,.167,0.6,0.9,.593,.456,0.0,0.1,.250,0.7,0.8,1.4,0.4,0.3,0.2,0.3,0.5,1.4,,tillmxa01
538,Xavier Tillman Sr.,27,BOS,C,14,1,7.9,1.0,2.2,.452,0.2,1.1,.200,0.8,1.1,.688,.500,0.0,0.0,,0.7,1.1,1.8,0.4,0.4,0.1,0.4,0.6,2.2,,tillmxa01
